csat_id,ticket_id,assignee_id,score_raw,score,comentario,avaliado_em,ano_mes,semana_iso,promotor,detrator,group_id,nome_grupo,time
52031696823187,61963,50102757263251.0,offered,,,2026-05-26 11:50:26+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031711249043,61969,50102757263251.0,offered,,,2026-05-26 11:49:57+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031461520147,61967,50102757263251.0,offered,,,2026-05-26 11:39:38+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52030841666195,61964,50102757263251.0,offered,,,2026-05-26 11:14:49+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52030312567571,61960,50102757263251.0,offered,,,2026-05-26 10:45:19+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029665394835,61959,50102757263251.0,offered,,,2026-05-26 10:00:25+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029653796499,61957,50102757263251.0,offered,,,2026-05-26 10:00:17+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029593734419,61955,50102757263251.0,offered,,,2026-05-26 09:55:18+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029459477139,61954,50102757263251.0,offered,,,2026-05-26 09:45:14+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029392402195,61958,50102757263251.0,offered,,,2026-05-26 09:38:39+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52029135954707,61953,50102757263251.0,offered,,,2026-05-26 09:15:22+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52027117221267,61952,50102757263251.0,offered,,,2026-05-26 06:30:15+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52026243927827,61951,50102757263251.0,offered,,,2026-05-26 05:10:17+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52026103649811,61948,50102757263251.0,offered,,,2026-05-26 05:00:17+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52025910997523,61950,50102757263251.0,offered,,,2026-05-26 04:40:57+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52025661762963,61949,50102757263251.0,offered,,,2026-05-26 04:15:10+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52025183832467,61947,50102757263251.0,offered,,,2026-05-26 03:30:26+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024934933267,61945,50102757263251.0,good,5.0,,2026-05-26 03:10:39+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52024958766099,61943,50102757263251.0,offered,,,2026-05-26 03:10:18+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024934050963,61945,50102757263251.0,offered,,,2026-05-26 03:10:18+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024730737939,61944,50102757263251.0,offered,,,2026-05-26 02:51:51+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024677441427,61946,50102757263251.0,offered,,,2026-05-26 02:50:18+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024402852627,61942,50102757263251.0,offered,,,2026-05-26 02:25:21+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024288274963,61938,50102757263251.0,offered,,,2026-05-26 02:15:19+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024160198419,61941,50102757263251.0,offered,,,2026-05-26 02:04:57+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52024035248531,61940,50102757263251.0,offered,,,2026-05-26 01:57:42+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52023855817875,61933,50102757263251.0,offered,,,2026-05-26 01:44:02+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
